ancine_id,countries,credits_number,distributor_movies_exhibited,distributor_origin,genres,public,rating,release_month,runtime
B0901024500000,BR,34,1.0,national,documentary,2313,all ages,6,90
E1600546500000,US,1875,68.0,international,action;adventure;science fiction,5279983,12,11,158
B0901028800000,BR,25,40.0,international,documentary;sport,1718,12,6,85
E1402603000000,FR;IT;TR,100,61.0,national,drama;thriller,13278,12,2,109
E1500675000000,US,357,40.0,international,comedy;drama;romance,245906,12,11,95
E1500819500000,CA;LU;US,386,33.0,national,action;adventure;animation;science fiction;thriller,121648,10,10,79
B0901015000000,BR,114,25.0,international,drama,94588,14,7,97
E1500380200000,US,592,40.0,international,adventure;animation;comedy;family,9281202,all ages,7,94
B0900982500000,BR,21,1.0,national,drama,3546,16,6,80
B0800866000000,AR;BR;PT,77,61.0,national,drama,16414,18,6,115
E1500869600000,KR;US,100,33.0,national,adventure;animation;comedy;family,185391,all ages,5,79
E1600594800000,FR,108,61.0,national,comedy;drama,15720,16,7,95
E1600544100000,CA;US,296,23.0,national,comedy;drama;romance,8708,12,5,106
B0700701800000,BR;CU;ES,16,61.0,national,adventure,2177,14,5,88
E1600594900000,AR;ES,40,61.0,national,drama,20124,all ages,5,85
E1500701500000,US,823,68.0,international,action;adventure;family;fantasy;science fiction;thriller,281068,12,4,98
B0901010800000,BR,70,20.0,international,comedy,2353646,14,6,105
E1402479900000,DE;FR,165,18.0,national,drama;thriller,47764,16,8,107
E1402747200000,CA;DE;FR;US,577,20.0,international,horror;mystery;thriller,184058,18,9,123
E1500933600000,US,540,68.0,international,action;adventure;comedy;mystery,586245,10,2,92
E1600562500000,JP,66,29.0,national,drama;music,89325,12,6,130
E1600623100000,AE;US,652,20.0,international,adventure;comedy;family;fantasy,71915,all ages,8,89
E1402794800000,US,944,68.0,international,adventure;animation;comedy;family;romance,1012119,all ages,12,97
E1600606400000,BE;ES;FR;GB;IT,207,23.0,national,comedy;drama;fantasy,24366,14,11,116
E1600174800000,US,501,68.0,international,comedy;drama;romance,1460499,12,7,108
E1402337300000,ES;PE,94,29.0,national,drama;music,10180,12,8,95
E1600549100000,US,291,44.0,national,adventure;drama;mystery;thriller,42981,16,11,98
E1402606700000,US,508,25.0,international,biography;crime;drama;mystery,272932,16,1,141
E1600021100000,US,464,68.0,international,comedy;romance,1474442,14,9,96
E1600629600000,US,286,33.0,national,comedy;drama;romance,16760,16,12,98
E1500920300000,US,348,40.0,international,adventure;drama;family,14367,16,8,114
E1600090500000,AU;SE,80,18.0,national,comedy;documentary;drama;music,3488,all ages,1,95
E1402604700000,ES,212,25.0,international,drama;romance;thriller,258594,14,12,127
