ancine_id,classind_rating
B0901024500000,all ages
E1600546500000,12
B0901028800000,12
E1402603000000,12
E1500675000000,12
E1500819500000,10
B0901015000000,14
E1600628800000,
E1500380200000,all ages
B0900982500000,16
B0800866000000,18
E1500869600000,all ages
E1600594800000,16
E1600544100000,12
B0700701800000,14
E1600594900000,all ages
E1500701500000,12
B0901006700000,
B0901010800000,14
E1402479900000,16
E1402747200000,18
E1500933600000,10
E1600562500000,12
E1600623100000,all ages
E1402794800000,all ages
E1600606400000,14
E1600174800000,12
E1402337300000,12
E1600549100000,16
E1402606700000,16
E1600021100000,14
E1600629600000,16
E1500920300000,16
E1600090500000,all ages
E1402604700000,14
E1600628000000,16
B0800831900000,14
E1600549900000,all ages
E1600614000000,12
E1600551600000,12
E1600550000000,14
E1600629700000,14
E1600613500000,10
B0901063200000,14
E1600635600000,14
E1600550400000,12
B0700707700000,12
E1600636200000,16
E1500796600000,16
E1600168100000,18
B0800922200000,10
E1600551500000,12
E1600551700000,16
E1600563900000,14
B0900982700000,all ages
E1600601200000,16
E1500120300000,14
E1600549800000,16
E1600552000000,12
E1402514700000,10
B0900993400000,all ages
E1600627500000,all ages
E1402518500000,18
B0901044600000,
E1600612200000,
B0800953500000,12
E1600639700000,12
B0901080700000,14
E1600576400000,12
B1001132300000,
B1001132200000,
E1600553800000,18
B0900988600000,16
E1600555800000,10
E1600611200000,12
E1600623800000,16
E1600556400000,12
E1600556500000,14
B0901061000000,12
B0901013900000,16
B0901055900000,all ages
E1600551800000,12
E1600557200000,14
E1600599700000,16
E1600630300000,14
B0900969800000,all ages
B0901043200000,10
E1402503400000,10
B0900979600000,12
E1600561800000,all ages
E1600544500000,16
E1500116400000,10
E1402644600000,18
E1600622800000,10
E1600608700000,18
E1600563100000,18
E1600380600000,14
B0901003500000,14
B0901103700000,18
B0901078400000,12
E1600598500000,
E1600563500000,all ages
E1600564000000,10
E1600410100000,12
E1402630000000,12
B0901108700000,16
E1600555400000,
E1500169000000,10
B0901070100000,all ages
B0800951000000,14
E1600468800000,12
E1600611600000,14
B0901091900000,12
B0800956800000,12
E1600582600000,12
E1600601300000,10
E1600626400000,all ages
B0600605500000,12
E1600589600000,12
E1600589700000,14
E1500459600000,16
E1600426500000,all ages
E1600608800000,12
E1600583100000,12
B0900998600000,12
B0900999100000,16
B0901086000000,14
E1600174700000,16
E1500379900000,all ages
E1600613700000,16
E1402795800000,12
B0800936700000,all ages
E1600562200000,all ages
E1402319200000,14
E1600584400000,18
B0900991000000,10
E1500196500000,16
E1600634700000,12
E1600587500000,12
E1600593000000,12
E1600587700000,12
E1600587900000,14
E1600590000000,12
E1600620200000,18
E1600556700000,14
E1500530400000,all ages
E1500096000000,12
B0901035900000,10
E1500468200000,14
E1500487000000,all ages
E1600588900000,all ages
E1600589000000,
E1600542900000,14
B0901117100000,14
E1600590100000,18
E1600613800000,16
E1402598500000,16
E1600626900000,14
E1600636400000,10
E1500773300000,10
B0901020100000,14
E1402820400000,16
E1600637100000,14
E1600621900000,18
E1600400500000,all ages
E1600563600000,14
E1600592800000,12
E1600593100000,14
B0800830200000,all ages
E1600593200000,16
E1600593700000,14
E1600557000000,12
E1600622500000,14
B0901025700000,all ages
E1500273400000,12
B0800855600000,14
E1600549700000,12
E1600601400000,14
E1600640700000,all ages
B0901082400000,12
E1500482600000,all ages
E1600608400000,16
E1600608000000,16
E1500171500000,14
B0800888700000,14
E1402628900000,all ages
B0901041200000,all ages
B0901057200000,all ages
E1600582400000,12
B0901027100000,14
E1600553700000,12
E1600609200000,14
E1600630500000,14
E1600631700000,
E1600607200000,12
E1600631900000,18
E1600619500000,14
B0901029800000,14
E1500121800000,all ages
E1500166000000,12
E1402795900000,10
E1600640500000,10
B0900971300000,all ages
E1500919200000,12
E1402824700000,14
E1600583300000,10
B0800820600000,
E1600576600000,12
E1600576700000,all ages
B0800964000000,all ages
E1600632200000,14
E1500819600000,16
E1600632300000,14
B0900987100000,10
B0901024100000,all ages
E1600577600000,all ages
E1600626100000,10
E1402824600000,14
E1600632700000,12
E1402595000000,10
E1500792700000,14
E1600541200000,14
E1600468700000,10
B0901061400000,14
B0800891200000,14
E1600626000000,16
E1600638800000,16
B0800917000000,all ages
E1600611900000,12
E1600612000000,
B0800925600000,all ages
B0800827400000,all ages
E1600540200000,all ages
E1500529000000,all ages
E1600613200000,all ages
E1600613400000,
E1600612900000,12
B0901002100000,12
E1500468000000,12
B0901071800000,14
E1500894100000,16
E1600624000000,16
E1600609300000,10
E1600584000000,12
E1600620100000,all ages
E1600621200000,10
B0901072300000,16
E1402747400000,14
B0800958700000,10
B0901050700000,16
E1600633300000,14
B0901079200000,18
E1600176700000,all ages
B0901001900000,12
E1600622900000,16
E1600333900000,18
E1600638300000,14
B0901010000000,all ages
E1600588600000,12
E1600627900000,16
B0901108200000,
E1402648600000,12
E1600627200000,14
E1600470900000,14
E1600551200000,12
E1500045900000,all ages
E1600633400000,12
B0901022100000,12
E1600576300000,all ages
E1600628400000,16
E1600561600000,16
E1600637800000,16
E1600633800000,14
E1600599500000,12
B0800925800000,12
E1600590200000,all ages
E1600634800000,14
E1600635000000,18
B0901039400000,14
E1600633900000,14
E1402345200000,10
E1600117000000,14
E1500530700000,16
E1500288700000,all ages
B0901010400000,all ages
E1402434000000,all ages
B0500444500000,16
E1600636000000,12
B0901019900000,14
E1600636100000,14
E1600546200000,14
E1600634200000,14
E1500204900000,all ages
E1402591100000,all ages
E1600589400000,12
E1500587900000,all ages
E1500883100000,16
B0901006300000,all ages
E1402488100000,14
B0800959100000,12
E1600636700000,12
E1500623800000,12
E1600637700000,16
E1600639100000,all ages
E1600637600000,16
E1600639400000,14
B0800852600000,10
E1402563700000,18
E1600606100000,14
B0901096800000,all ages
B0901041400000,all ages
E1600546300000,16
E1600593400000,12
