ancine_id,imdb_countries,imdb_credits_number,imdb_genres,imdb_runtime
B0901024500000,BR,34,documentary,90
E1600546500000,US,1875,action;adventure;science fiction,158
B0901028800000,BR,25,documentary;sport,
E1402603000000,TR;FR;IT,100,drama,109
E1500675000000,US,357,comedy;drama;romance,95
E1500819500000,US;CA;LU,386,animation;action;adventure,79
B0901015000000,BR,114,drama,97
E1600628800000,GB,82,documentary;history;news,92
E1500380200000,US,592,animation;adventure;comedy,94
B0900982500000,BR,21,drama,80
B0800866000000,BR;AR;PT,77,drama,115
E1500869600000,US;KR,100,animation;adventure;comedy,79
E1600594800000,FR,108,comedy;drama,95
E1600544100000,US;CA,296,comedy;drama;romance,106
B0700701800000,CU;ES;BR,16,adventure,88
E1600594900000,AR;ES,40,drama,85
E1500701500000,US,823,action;adventure;family,98
B0901006700000,BR,26,documentary,78
B0901010800000,BR,70,comedy,105
E1402479900000,DE;FR,165,drama;thriller,107
E1402747200000,US;CA;DE;FR,577,horror;mystery;thriller,123
E1500933600000,US,540,action;adventure;comedy,92
E1600562500000,JP,66,drama;music,130
E1600623100000,US;AE,652,adventure;comedy;family,89
E1402794800000,US,944,animation;adventure;comedy,97
E1600606400000,GB;FR;IT;BE;ES,207,comedy;drama;fantasy,116
E1600174800000,US,501,comedy;drama;romance,108
E1402337300000,ES;PE,94,drama;music,95
E1600549100000,US,291,drama;mystery;thriller,98
E1402606700000,US,508,biography;crime;drama,141
E1600021100000,US,464,comedy;romance,96
E1600629600000,US,286,comedy;drama;romance,98
E1500920300000,US,348,drama,114
E1600090500000,SE;AU,80,documentary;comedy;drama,95
E1402604700000,ES,212,drama;romance;thriller,127
E1600628000000,US,674,biography;comedy;drama,120
B0800831900000,BR,22,drama,104
E1600549900000,RU;FR,32,drama;war,95
E1600614000000,FR,92,drama,100
E1600551600000,US,95,comedy;drama;romance,90
E1600550000000,AR,63,comedy;romance,90
E1600629700000,US,548,horror;mystery;thriller,88
E1600613500000,IT,70,comedy;drama,75
B0901063200000,BR,55,documentary;biography,90
E1600635600000,US;FR,340,drama;romance,110
E1600550400000,US,169,documentary,95
B0700707700000,BR,14,documentary,142
E1600636200000,US;NZ,921,action;fantasy;thriller,92
E1500796600000,US;IT,1483,action;mystery;thriller,138
E1600168100000,DK;DE;FR;SE;IT;PL,411,drama;horror;thriller,108
B0800922200000,BR,20,comedy;family;romance,80
E1600551500000,PT;FR,30,music;romance,147
E1600551700000,MX,199,drama,107
E1600563900000,US,631,horror,99
B0900982700000,BR,33,documentary,
E1600601200000,FR,97,drama;romance,112
E1500120300000,US,52,horror;mystery,86
E1600549800000,FR,83,comedy;drama,107
E1600552000000,GB;AU;US,1686,adventure;drama;romance,165
E1402514700000,US,3203,action;adventure;fantasy,162
B0900993400000,BR,14,documentary;adventure,88
E1600627500000,DK;DE,92,animation;comedy;family,75
E1402518500000,DE;US,604,adventure;drama;war,153
B0901044600000,,,,
E1600612200000,CH;FR,74,comedy;musical;romance,115
B0800953500000,BR,99,drama,
E1600639700000,FR,166,drama,110
B0901080700000,BR,129,action;biography;drama,94
E1600576400000,GB;CA,204,comedy;romance,97
B1001132300000,,,,
B1001132200000,,,,
E1600553800000,US;GB,338,comedy,81
B0900988600000,HU;BR;PT,98,adventure;drama;family,113
E1600555800000,FR;LB,125,comedy;drama;romance,95
E1600611200000,NO;DE;FR;DK,140,comedy;drama,90
E1600623800000,RO;LU;FR,97,comedy;drama;history,87
E1600556400000,ES;FR;US,504,biography;drama;history,135
E1600556500000,ES;FR;US,504,biography;drama;history,135
B0901061000000,BR,15,documentary,92
B0901013900000,BR,12,documentary,
B0901055900000,,,,
E1600551800000,HK;TW,75,action;drama,100
E1600557200000,FR;BE,202,biography;drama,105
E1600599700000,US,621,action;crime;drama,109
E1600630300000,US,149,drama,77
B0900969800000,BR,10,music,98
B0901043200000,BR,31,documentary,71
E1402503400000,US,727,animation;drama;family,100
B0900979600000,BR,9,documentary,123
E1600561800000,ES;PT,13,animation;adventure;fantasy,80
E1600544500000,SE,240,drama;fantasy;horror,114
E1500116400000,US,649,comedy;romance,104
E1402644600000,TW;US;HK;CN,300,drama;history;romance,157
E1600622800000,US,424,comedy;drama;fantasy,102
E1600608700000,US;CA,410,horror;mystery;thriller,101
E1600563100000,ES,146,drama;romance,101
E1600380600000,ZA;US;NZ;CA,1209,action;science fiction;thriller,112
B0901003500000,BR,99,comedy;drama;romance,90
B0901103700000,BR,67,drama;romance,94
B0901078400000,BR,21,comedy,104
E1600598500000,FR,125,comedy;fantasy;music,84
E1600563500000,ES;IT,480,animation;adventure;comedy,90
E1600564000000,US;MX;HK;GB,629,action;adventure;fantasy,85
E1600410100000,US;DE,535,comedy;crime;romance,125
E1402630000000,US,454,drama;mystery,104
B0901108700000,BR,92,drama;romance;thriller,89
E1600555400000,US,222,crime;science fiction;thriller,90
E1500169000000,DE;US,479,comedy;drama;romance,129
B0901070100000,,,,
B0800951000000,BR,40,comedy,90
E1600468800000,US,473,comedy,113
E1600611600000,FR,103,comedy;drama,110
B0901091900000,BR,5,documentary,150
B0800956800000,PT;BR,55,drama,100
E1600582600000,FR,121,drama,128
E1600601300000,FR;IT,126,drama;romance,104
E1600626400000,CA;US,103,documentary,47
B0600605500000,BR,15,drama,115
E1600589600000,US,188,comedy;romance,98
E1600589700000,US,410,comedy;romance,105
E1500459600000,US;CA,396,drama;horror;mystery,92
E1600426500000,PT;ES,59,documentary;musical,93
E1600608800000,US;ES,533,comedy;romance,98
E1600583100000,US,645,comedy;drama;musical,107
B0900998600000,BR,7,documentary;sport,92
B0900999100000,BR,39,drama;fantasy;horror,80
B0901086000000,BR,58,biography;drama,100
E1600174700000,US;GB,486,drama;romance,119
E1500379900000,US,1332,animation;action;adventure,88
E1600613700000,US;DE,534,crime;drama;thriller,130
E1402795800000,GB;FR;US,502,biography;drama;history,122
B0800936700000,BR,26,documentary,86
E1600562200000,CA;US,81,documentary;short,41
E1402319200000,US,1684,action;adventure;science fiction,118
E1600584400000,US,651,action;science fiction;thriller,95
B0900991000000,BR,12,documentary,110
E1500196500000,US,438,comedy;horror,102
E1600634700000,IL,25,comedy;crime;drama,100
E1600587500000,UY;AR;DE;ES;NL,42,drama,84
E1600593000000,JP,41,comedy;drama,108
E1600587700000,US,154,drama,91
E1600587900000,DE;US,308,drama,116
E1600590000000,FR;DE,111,drama,117
E1600620200000,US,337,horror,109
E1600556700000,DE,85,drama;romance,127
E1500530400000,US,504,comedy;drama;family,102
E1500096000000,GB;US,1597,action;adventure;family,153
B0901035900000,BR,32,documentary,94
E1500468200000,US;CA,387,action;science fiction;thriller,111
E1500487000000,US,447,comedy;drama;family,111
E1600588900000,FR,102,documentary,118
E1600589000000,US,240,crime;drama;history,124
E1600542900000,FR,94,drama;family,103
B0901117100000,BR,55,drama,102
E1600590100000,AT;FR;DE,96,drama,141
E1600613800000,FR;CA;IT,314,action;biography;crime,113
E1402598500000,US;JP,1126,action;biography;crime,140
E1600626900000,US;GB;FR,735,crime;drama;mystery,127
E1600636400000,CN;HK,14,documentary,80
E1500773300000,CA;GB,60,documentary;music,112
B0901020100000,GB;BR,116,biography;drama,93
E1402820400000,US,208,comedy;drama;romance,97
E1600637100000,US;DE,740,action;crime;thriller,104
E1600621900000,CA;US;AU,356,horror;mystery;thriller,90
E1600400500000,US,551,documentary;biography;music,76
E1600563600000,GB;US;ZA;DE,812,action;science fiction;thriller,113
E1600592800000,US,508,biography;drama;romance,123
E1600593100000,PL,196,drama;history;war,122
B0800830200000,BR,13,documentary,81
E1600593200000,US,363,action;crime;drama,95
E1600593700000,US,44,documentary;music,96
E1600557000000,US,83,drama,85
E1600622500000,IT,103,romance,103
