ancine_id,tmdb_countries,tmdb_credits_number,tmdb_genres,tmdb_runtime
B0901024500000,BR,19,documentary,90
E1600546500000,US,397,action;adventure;science fiction,158
B0901028800000,BR,18,documentary,85
E1402603000000,TR;IT;FR,16,drama;thriller,109
E1500675000000,US,78,comedy;drama;romance,95
E1500819500000,US,195,action;adventure;animation;science fiction;thriller,79
B0901015000000,BR,20,drama,97
E1600628800000,GB,5,war;documentary;history,92
E1500380200000,US,228,animation;comedy;family;adventure,94
B0900982500000,BR,10,drama,80
B0800866000000,BR,19,drama,115
E1500869600000,KR;US,11,comedy;animation;family,79
E1600594800000,FR,18,comedy;drama,95
E1600544100000,US,57,comedy;drama;romance,106
B0700701800000,BR;CU;ES,9,adventure,88
E1600594900000,AR,7,drama,85
E1500701500000,US,60,adventure;family;fantasy;science fiction;thriller;action,98
B0901006700000,BR,8,documentary,
B0901010800000,BR,20,comedy,106
E1402479900000,DE,54,drama;thriller,107
E1402747200000,CA;FR;DE;US,176,horror;thriller;mystery,123
E1500933600000,US,180,comedy;mystery,92
E1600562500000,JP,25,drama,130
E1600623100000,AE;US,54,family;fantasy;comedy,89
E1402794800000,US,115,romance;family;animation,98
E1600606400000,BE;FR;IT;ES;GB,31,comedy;drama,119
E1600174800000,US,87,comedy;romance;drama,108
E1402337300000,ES;PE,12,drama,94
E1600549100000,US,172,thriller;mystery;adventure,98
E1402606700000,US,123,crime;drama;mystery,141
E1600021100000,US,165,comedy;romance,96
E1600629600000,US,55,comedy;drama;romance,98
E1500920300000,US,56,family;adventure;drama,114
E1600090500000,AU;SE,75,comedy;documentary;drama;music,95
E1402604700000,ES,33,drama;romance;thriller,127
E1600628000000,US,58,music;comedy;drama,120
B0800831900000,,3,,104
E1600549900000,FR;RU,17,war;drama,95
E1600614000000,FR,9,drama,100
E1600551600000,US,30,drama;comedy;romance,90
E1600550000000,,4,,90
E1600629700000,US,118,horror;thriller;mystery,87
E1600613500000,IT,16,comedy,75
B0901063200000,BR,15,documentary,90
E1600635600000,US;FR,101,drama;romance,110
E1600550400000,US,57,documentary,95
B0700707700000,BR,21,documentary,
E1600636200000,US,57,fantasy;action;thriller,92
E1500796600000,IT;US,496,thriller;mystery,138
