ancine_id,tmdb_id,imdb_id
B0901024500000,283795,tt3774662
E1600546500000,14161,tt1190080
B0901028800000,46946,tt6793694
E1402603000000,8905,tt1233381
E1500675000000,19913,tt1022603
E1500819500000,12244,tt0472033
B0901015000000,39641,tt1016321
E1600628800000,24458,tt1300563
E1500380200000,8355,tt1080016
B0900982500000,52247,tt1270631
B0800866000000,8925,tt1136609
E1500869600000,26728,tt1135929
E1600594800000,15342,tt1139800
E1600544100000,6615,tt0805564
B0700701800000,254445,tt1848870
E1600594900000,21409,tt1285144
E1500701500000,13836,tt1075417
B0901006700000,495469,tt2005141
B0901010800000,30127,tt1236397
E1402479900000,7735,tt1063669
E1402747200000,21208,tt1148204
E1500933600000,15159,tt0838232
E1600562500000,16804,tt1069238
E1600623100000,25132,tt1100119
E1402794800000,10198,tt0780521
E1600606400000,18898,tt1242545
E1600174800000,18240,tt1041829
E1402337300000,28644,tt1206488
E1600549100000,12403,tt0971209
E1402606700000,3580,tt0824747
E1600021100000,20943,tt1142988
E1600629600000,4475,tt1134629
E1500920300000,12837,tt0416212
E1600090500000,14336,tt0075617
E1402604700000,8088,tt0913425
E1600628000000,26320,tt1127896
B0800831900000,426394,tt1331089
E1600549900000,17479,tt1034427
E1600614000000,43620,tt1401625
E1600551600000,18290,tt0848542
E1600550000000,73918,tt1260712
E1600629700000,13788,tt1139668
E1600613500000,17631,tt1277728
B0901063200000,75273,tt1654812
E1600635600000,10362,tt1103275
E1600550400000,13259,tt0486259
B0700707700000,329234,tt1094235
E1600636200000,12437,tt0834001
E1500796600000,13448,tt0808151
E1600168100000,17609,tt0870984
B0800922200000,35652,tt1424746
E1600551500000,54384,tt1081929
E1600551700000,16382,tt1130981
E1600563900000,16871,tt1127180
B0900982700000,725807,tt1450145
E1600601200000,38282,tt0487273
E1500120300000,23827,tt1179904
E1600549800000,6360,tt0815092
E1600552000000,6972,tt0455824
E1402514700000,19995,tt0499549
B0900993400000,621002,tt1849866
E1600627500000,15838,tt1087841
E1402518500000,16869,tt0361748
B0901044600000,,
E1600612200000,51945,tt0356999
B0800953500000,84069,tt0446564
E1600639700000,15712,tt1314280
B0901080700000,23854,tt1322277
E1600576400000,16899,tt0808244
B1001132300000,769926,
B1001132200000,769926,
E1600553800000,18480,tt0889583
B0900988600000,34071,tt1180300
E1600555800000,7973,tt0825236
E1600611200000,8933,tt0962774
E1600623800000,26752,tt1194620
E1600556400000,8881,tt0892255
E1600556500000,8880,tt0374569
B0901061000000,47411,tt1977750
B0901013900000,340425,tt1430076
B0901055900000,239403,
E1600551800000,40751,tt0109688
E1600557200000,11156,tt1035736
E1600599700000,22803,tt1197624
E1600630300000,17680,tt1103982
B0900969800000,254890,tt1274641
B0901043200000,243460,tt1191112
E1402503400000,14836,tt0327597
B0900979600000,,tt11228986
E1600561800000,69796,tt0482925
E1600544500000,13310,tt1139797
E1500116400000,20048,tt1093908
E1402644600000,4588,tt0808357
E1600622800000,16996,tt0974661
E1600608700000,14435,tt1179891
E1600563100000,19173,tt1111890
E1600380600000,17654,tt1136608
B0901003500000,29314,tt1278336
B0901103700000,44125,tt1440741
B0901078400000,347928,tt1314272
E1600598500000,14408,tt0463352
E1600563500000,14704,tt0419704
E1600564000000,14164,tt1098327
E1600410100000,16558,tt1135487
E1402630000000,14359,tt0918927
B0901108700000,81055,tt1134860
E1600555400000,16258,tt1234541
E1500169000000,10184,tt1001508
B0901070100000,,
B0800951000000,199708,tt0478860
E1600468800000,19899,tt1078940
E1600611600000,15436,tt1065332
B0901091900000,258202,tt2500792
B0800956800000,177401,tt1111895
E1600582600000,8841,tt1068646
E1600601300000,37842,tt1156143
E1600626400000,18221,tt0290296
B0600605500000,355940,tt4722020
E1600589600000,20825,tt0762105
E1600589700000,16538,tt1155056
E1500459600000,18781,tt0492044
E1600426500000,25774,tt1056422
E1600608800000,23049,tt0865559
E1600583100000,28665,tt1016075
B0900998600000,46947,tt12165362
B0900999100000,101588,tt1341166
B0901086000000,63541,tt2069774
E1600174700000,4148,tt0959337
E1500379900000,19585,tt0436339
E1600613700000,13150,tt0482572
E1402795800000,11499,tt0870111
B0800936700000,281856,tt1997363
E1600562200000,17700,tt0424942
E1402319200000,14869,tt1046173
E1600584400000,18501,tt1034032
B0900991000000,126427,tt1262985
E1500196500000,19994,tt1131734
E1600634700000,182160,tt1090316
E1600587500000,39488,tt1360866
E1600593000000,30427,tt0996435
E1600587700000,21371,tt1095442
E1600587900000,13223,tt1205489
E1600590000000,8276,tt1068649
E1600620200000,2082,tt0373883
E1600556700000,6461,tt0910559
E1500530400000,18126,tt1114677
E1500096000000,767,tt0417741
B0901035900000,58209,tt1568829
E1500468200000,13455,tt0465580
E1500487000000,23367,tt0976222
E1600588900000,62320,tt1014762
E1600589000000,14414,tt0829193
E1600542900000,8282,tt0836700
B0901117100000,250140,tt1252605
E1600590100000,4998,tt0459102
E1600613800000,13635,tt1259014
E1402598500000,11322,tt1152836
E1600626900000,16995,tt0473705
E1600636400000,125556,tt1094286
E1500773300000,19105,tt1361558
B0901020100000,28997,tt0989007
E1402820400000,19918,tt1186370
E1600637100000,14979,tt1112782
E1600621900000,22804,tt1233227
E1600400500000,40534,tt1229827
E1600563600000,13460,tt0483607
E1600592800000,24803,tt1135503
E1600593100000,13614,tt0879843
B0800830200000,296467,tt1455682
E1600593200000,16164,tt0443559
E1600593700000,25630,tt0790769
E1600557000000,38280,tt0457302
E1600622500000,34494,tt1074213
B0901025700000,62717,tt1517095
E1500273400000,18239,tt1259571
B0800855600000,,tt15708782
E1600549700000,13401,tt0809504
E1600601400000,18238,tt1020885
E1600640700000,60080,tt1183701
B0901082400000,,
E1500482600000,13576,tt1477715
E1600608400000,12412,tt1046997
E1600608000000,10139,tt1013753
E1500171500000,12556,tt0821640
B0800888700000,359571,tt1226244
E1402628900000,15512,tt0892782
B0901041200000,183029,tt1843212
B0901057200000,704317,
E1600582400000,73293,tt1139664
B0901027100000,86614,tt1072436
E1600553700000,10521,tt0901476
E1600609200000,12572,tt0808399
E1600630500000,24122,tt1205535
E1600631700000,,
E1600607200000,21583,tt1082853
E1600631900000,13855,tt1190539
E1600619500000,14976,tt1084950
B0901029800000,32958,tt1372685
E1500121800000,10199,tt0420238
E1500166000000,4922,tt0421715
E1402795900000,11323,tt1130080
E1600640500000,10200,tt0970416
B0900971300000,300933,tt1202168
E1500919200000,14048,tt1155592
E1402824700000,534,tt0438488
E1600583300000,10315,tt0432283
B0800820600000,331236,tt6048938
E1600576600000,244145,tt0322298
E1600576700000,51800,tt1206541
B0800964000000,205949,tt1670262
E1600632200000,6968,tt0765432
E1500819600000,12246,tt0416044
E1600632300000,12163,tt1125849
B0900987100000,49882,tt1334026
B0901024100000,481212,tt4733024
E1600577600000,33297,tt1031928
E1600626100000,26888,tt1277736
E1402824600000,18487,tt1111422
E1600632700000,17332,tt0821642
E1402595000000,12473,tt0857191
E1500792700000,2253,tt0985699
E1600541200000,7862,tt0813547
E1600468700000,17979,tt1067106
B0901061400000,34277,tt1504688
B0800891200000,26339,tt0481419
E1600626000000,26688,tt1232783
E1600638800000,10358,tt1007028
B0800917000000,172293,tt1312241
E1600611900000,8279,tt0869994
E1600612000000,43619,tt1315962
B0800925600000,320002,tt14449732
B0800827400000,739332,tt2245047
E1600540200000,20856,tt0775552
E1500529000000,14405,tt1014775
E1600613200000,16866,tt0762125
E1600613400000,32511,tt1337051
E1600612900000,14857,tt1138489
B0901002100000,80444,tt1446136
E1500468000000,13811,tt0448011
B0901071800000,64510,tt1205004
E1500894100000,13812,tt1082868
E1600624000000,12405,tt1010048
E1600609300000,14536,tt1095174
E1600584000000,10183,tt0978759
E1600620100000,20653,tt1050739
E1600621200000,51871,tt1160022
B0901072300000,32254,tt1526306
E1402747400000,18785,tt1119646
B0800958700000,21752,tt1099227
B0901050700000,72700,tt1330048
E1600633300000,14928,tt0782867
B0901079200000,396159,tt1322372
E1600176700000,28178,tt1028532
B0901001900000,899865,
E1600622900000,13523,tt1135985
E1600333900000,13207,tt0758746
E1600638300000,10201,tt1068680
B0901010000000,126097,tt1440286
E1600588600000,10503,tt1045670
E1600627900000,4960,tt0383028
B0901108200000,,tt1685327
E1402648600000,13475,tt0796366
E1600627200000,17605,tt1174047
E1600470900000,19959,tt0986263
E1600551200000,12193,tt0369436
E1500045900000,22794,tt0844471
E1600633400000,24420,tt0452694
B0901022100000,27457,tt1223932
E1600576300000,10946,tt0393597
E1600628400000,177402,tt0242029
E1600561600000,15577,tt0924129
E1600637800000,22787,tt0365929
E1600633800000,8285,tt0831887
E1600599500000,16409,tt1046947
B0800925800000,58517,tt1388412
E1600590200000,78124,tt1210117
E1600634800000,8938,tt0976060
E1600635000000,33774,tt1223975
B0901039400000,315749,tt1552638
E1600633900000,4959,tt0963178
E1402345200000,8373,tt1055369
