ancine_id,classind_id
B0901024500000,35378
B0901028800000,35590
E1402603000000,34083
E1500380200000,35595
B0900982500000,35691
B0800866000000,33055
E1500869600000,32846
E1600594800000,35630
E1600544100000,30470
B0700701800000,34314
E1600594900000,34701
E1500701500000,34381
B0901006700000,34722
B0901010800000,35031
E1402479900000,35476
E1500933600000,34036
E1600562500000,35373
E1600174800000,35384
E1402606700000,33815
E1600021100000,35703
E1500920300000,34724
E1600090500000,34127
B0800831900000,34308
E1600549900000,33977
E1600551600000,33355
E1600629700000,34299
E1600613500000,35862
E1600635600000,35572
E1600550400000,34798
B0700707700000,34367
E1600636200000,34172
E1500796600000,34731
B0800922200000,32514
E1600551700000,34723
B0900982700000,35740
E1600601200000,33839
E1600549800000,34792
E1600552000000,33904
B0900993400000,34352
E1600627500000,33438
B0800953500000,33816
E1600639700000,35391
B0900988600000,34225
E1600555800000,35123
E1600623800000,35618
E1600556400000,34034
E1600556500000,36222
B0901013900000,35025
B0901055900000,35899
E1600551800000,33083
E1600599700000,37408
B0900969800000,34035
B0901043200000,35900
E1402503400000,34102
E1600561800000,37255
E1500116400000,34322
E1402644600000,31145
E1600622800000,35573
E1600608700000,34290
E1600563100000,34808
B0901003500000,33908
E1600563500000,34624
E1600564000000,34550
E1600410100000,34964
E1402630000000,34037
E1500169000000,28921
B0800951000000,33725
B0800956800000,34173
E1600582600000,34107
E1600626400000,35244
E1600589600000,34408
E1600589700000,34730
E1500459600000,34463
B0900998600000,34428
B0900999100000,34571
E1600174700000,34005
E1500379900000,36043
E1600613700000,34030
E1402795800000,34257
B0800936700000,33740
E1600562200000,33979
E1600584400000,36991
B0900991000000,34349
E1600634700000,35699
E1600593000000,34108
E1600590000000,35457
E1600556700000,38088
E1500530400000,35024
E1500096000000,35702
B0901035900000,35895
E1500468200000,34297
E1600588900000,35327
E1600542900000,35619
E1600590100000,34686
E1600613800000,35693
E1600626900000,35385
E1600636400000,32241
E1500773300000,34622
B0901020100000,35374
E1402820400000,35647
E1600637100000,33841
E1600400500000,34963
E1600563600000,31111
E1600592800000,35386
E1600593100000,34356
B0800830200000,26773
E1600593200000,34407
E1600557000000,34222
E1600622500000,33133
B0901025700000,36316
E1500273400000,37919
B0800855600000,35029
E1600549700000,35867
E1600601400000,35521
E1600640700000,34118
B0901082400000,36279
E1500482600000,37719
E1600608400000,34100
E1600608000000,34006
E1500171500000,35350
E1402628900000,34461
B0901041200000,35790
B0901057200000,36033
E1600582400000,34014
B0901027100000,37944
E1600553700000,30627
E1600630500000,36041
E1600607200000,35795
E1600619500000,33965
B0901029800000,35700
E1500121800000,33976
E1500166000000,33968
E1600640500000,33905
B0900971300000,37934
E1500919200000,34460
E1402824700000,35032
E1600583300000,37950
B0800964000000,33863
E1600632200000,34183
E1500819600000,35026
E1600632300000,27840
B0900987100000,34216
E1402824600000,35387
E1402595000000,34305
E1500792700000,14475
E1600541200000,34409
B0800891200000,32435
E1600638800000,33750
B0800917000000,34162
E1600611900000,35648
B0800925600000,34193
B0800827400000,34619
E1500529000000,34080
E1600613200000,37650
E1600612900000,34159
E1500468000000,34546
E1500894100000,33849
E1600609300000,34167
E1600584000000,34119
