ancine_id,imdb_id
B0900979600000,tt11228986
B0901101100000,tt2190463
B1001164600000,tt1517615
B1001257100000,tt11609572
B1201574300000,tt4360488
B1201590900000,tt4788844
B1201628900000,tt6132286
B1201652400000,tt6449254
B1301743300000,tt12324234
B1301936500000,tt4945560
B1301939800000,tt3363440
B1301949900000,tt1887936
B1301983400000,tt8446976
B1302007900000,tt6915252
B1302047400000,tt1878844
B1402089200000,tt6099404
B1402089600000,tt5866814
B1402090800000,tt3154314
B1402117800000,tt5831162
B1402156100000,tt2070379
B1402202200000,tt5609526
B1402693700000,tt6385028
B1402825200000,tt6197460
B1500071300000,tt6533312
B1500311000000,tt4062604
B1500315900000,tt10337244
B1500636700000,tt5142532
B1500712100000,tt5535604
B1600012800000,tt5564552
B1600019500000,tt6388272
B1600187400000,tt6388198
B1600332400000,tt20302378
B1600341800000,tt5841342
B1600403600000,tt4785058
B1600514100000,tt7241970
B1600520300000,tt7660834
B1600625200000,tt11146692
B1600716200000,tt6388566
B1600736900000,tt6388354
B1700220800000,tt12780488
B1700329300000,tt15812944
B1700524700000,tt8740330
B1700546500000,tt7627772
B1700560500000,tt7369764
B1700581200000,tt7844120
B1700602000000,tt8377184
B1700605900000,tt6285776
B1800038700000,tt16114198
B1800135100000,tt12926126
B1800193400000,tt13721354
B1800235200000,tt7937758
B1800250800000,tt7524472
B1800311900000,tt8820152
B1800323800000,tt9336024
B1800362300000,tt14051962
B1800387700000,tt2974412
B1800423800000,tt13858010
B1800447400000,tt9500006
B1800504800000,tt10983808
B1800540900000,tt9042580
B1800556200000,tt17320922
B1900210500000,tt10990076
B1900245100000,tt6792306
B1900314100000,tt12317834
B1900363600000,tt9805984
B1900507000000,tt11607370
E1500477800000,tt3342628
E1600291900000,tt4373888
E1600637700000,tt1323553
E1800537900000,tt5463162
E1900267600000,tt8563028
E1900546000000,tt9097174
