ancine_id,tmdb_id
B0400104300000,255548
B0500444500000,28393
B0600605500000,355940
B0600623600000,229481
B0700701800000,254445
B0700707700000,329234
B0700719500000,296398
B0700745800000,241993
B0700747100000,754823
B0700792400000,252107
B0700799200000,293070
B0800953500000,84069
B0800959200000,293067
B0900969800000,254890
B0900993400000,621002
B0901022000000,255439
B0901028800000,46946
B0901034700000,139432
B0901050500000,258175
B0901101100000,618399
B0901101600000,303915
B0901120600000,264104
B0901126600000,73160
B1001160300000,45170
B1001165300000,204558
B1001167100000,359631
B1001180900000,45534
B1001191000000,216604
B1001192900000,130105
B1001193400000,165336
B1001197000000,352997
B1001205900000,237786
B1001247700000,210336
B1001257100000,618345
B1001284500000,255545
B1001288800000,279961
B1001296100000,283471
B1001298800000,74228
B1001303400000,81536
B1001312000000,249886
B1001312200000,258741
B1001314100000,618401
B1001317800000,723092
B1001321100000,48573
B1101348800000,333171
B1101362100000,156180
B1101365800000,48413
B1101377300000,140464
B1101377500000,635059
B1101379600000,230733
B1101389300000,297283
B1101397900000,128011
B1101428500000,238528
B1101438100000,186246
B1101467000000,250356
B1101473600000,251341
B1101490600000,110949
B1101493300000,275620
B1101513200000,150161
B1201544500000,268473
B1201564400000,340930
B1201571700000,179810
B1201571900000,83770
B1201574300000,235448
B1201582200000,191356
B1201590900000,230441
B1201613900000,259549
B1201614400000,267138
B1201623700000,88237
B1201627800000,243656
B1201628900000,419466
B1201629200000,247634
B1201639800000,93858
B1201643000000,339853
B1201647100000,129705
B1201652400000,151865
B1201652800000,240863
B1201659100000,243663
B1201659300000,249132
B1201659800000,213633
B1201663300000,480546
B1201671900000,348715
B1201676700000,244270
B1201696800000,267137
B1201698400000,79528
B1201709400000,178777
B1301712200000,173214
B1301712400000,127014
B1301743300000,235451
B1301751900000,84195
B1301783300000,227744
B1301794500000,170364
B1301810400000,133878
B1301816900000,227108
B1301852900000,213223
B1301869200000,241183
B1301871900000,230374
B1301872000000,230398
B1301898000000,296412
B1301935400000,199028
B1301939800000,495977
B1301944100000,304405
B1301949900000,327727
B1301981200000,169573
B1301983400000,233807
B1301996600000,127923
B1302007900000,239600
B1302033700000,327354
B1302036500000,158945
B1302041500000,152294
B1402089200000,294152
B1402089600000,366513
B1402091800000,229059
B1402098200000,187988
B1402117400000,241536
B1402117800000,280759
B1402118500000,183668
B1402131600000,268100
B1402137200000,227970
B1402144800000,300605
B1402146400000,183863
B1402156100000,328397
B1402156500000,287620
B1402173200000,299851
B1402192700000,230445
B1402202200000,290101
B1402218500000,345662
B1402254000000,310997
B1402263600000,227959
B1402280900000,447673
B1402296700000,326219
B1402296800000,464930
B1402301100000,286258
B1402307700000,299800
B1402372600000,286052
B1402446800000,248475
B1402524100000,366512
B1402543600000,287582
B1402693700000,303978
B1402740400000,405836
B1402825200000,337709
B1500014400000,328263
B1500113300000,296252
B1500149400000,338815
B1500169900000,308704
B1500189400000,299071
B1500193000000,264736
B1500224200000,337863
